file_name,x,y,z,node_x,line_id,point_id,degree_x,vol_cc_x,avg_PK_Of_element_x,element_connectivity_x,Unnamed: 0_y,cc_length_(um),cc_vol_from_img_(um3),branches,nodes,edges,cc_average_degree_excludeFreeEnds,cc_max_PK,cc_average_connectivity,diameter,element_length_(um),element_average_width,element_Volume_Voxel,x_x,y_x,z_x,width_(um),x_pixel,y_pixel,z_pixel,distance,x_y,y_y,z_y,node_y,degree_y,cc_y,vol_cc_y,avg_PK_Of_element_y,element_connectivity_y,coeff_of_variance_cc,coeff_of_variance_line_id,density,pathLength,clustering_coefficient,matching_index,cc_center_x,cc_center_y,cc_center_z,center_x,center_y,center_z,distance_to_center,order,Angle_Flag,degree_distribution_0,degree_distribution_1,degree_distribution_2,degree_distribution_3,degree_distribution_4,degree_distribution_5,degree_distribution_6,degree_distribution_7,degree_distribution_8,degree_distribution_9,degree_distribution_10,degree_distribution_11,cell_group
Tol1-3_Subset_78.tif,12.376,16.744,3,404,179,9,1,1.03293,2,0.5,3721,4.60895,1.03293,3,4,3,0.75,3,1.333333333,0.534182316,1.200920393,0.22817,0.274014006,12.376,16.744,3,0.21701,119,123,6,7.746508891,12.376,16.744,3,404,1,78,1.03293,2,0.5,63.60720026,58.68397616,0.5,1.5,0,0.5,11.336,16.30139,2.549385,11.873335,16.570665,2.833335,0.664729667,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0
Tol1-3_Subset_80.tif,12.376,16.432,3,408,177,4,1,0.15683,1,1,3739,0.43374,0.15683,1,2,1,0,2,0,0.678507876,0.4337417,0.19904,0.086331948,12.376,16.432,3,0.07479,119,126,6,7.811164318,12.376,16.432,3,408,1,80,0.15683,1,1,54.16787423,55.15469142,1,1,0,0,12.324,16.224,3,12.324,16.224,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Tol1-3_Subset_70.tif,6.24,16.432,3,410,175,4,1,0.68141,2,0.5,3606,1.20366,0.68141,3,4,3,0.75,3,1.333333333,0.848999426,0.578501683,0.345032,0.199601593,6.24,16.432,3,0.28267,60,126,6,2.344303735,6.24,16.432,3,410,1,70,0.68141,2,0.5,49.57255636,54.93040059,0.5,1.5,0,0.5,6.552,16.068,3,6.413335,16.206665,3,0.196101924,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0
Tol1-3_Subset_81.tif,12.792,15.912,3,415,114,10,1,0.85446,2,0.5,3758,4.6528,0.85446,3,4,3,0.75,3,1.333333333,0.483552614,1.621736248,0.301375455,0.488751499,12.792,15.912,3,0.23849,123,131,6,8.343441017,12.792,15.912,3,415,1,81,0.85446,2,0.5,55.04547946,63.35547592,0.5,1.5,0,0.5,11.804205,15.132,2.5,12.358665,15.409335,2.583335,0.62552803,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0
Tol1-3_Subset_57.tif,5.824,15.08,3,419,55,19,1,1.22221,1,1,3400,4.16433,1.22221,1,2,1,0,2,0,0.611301423,4.164332932,0.32506,1.353658063,5.824,15.08,3,0.40689,56,139,6,3.326559785,5.824,15.08,3,419,1,57,1.22221,1,1,55.20488225,50.34076391,1,1,0,0,5.5121,16.016,3.037035,5.5121,16.016,3.037035,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Tol1-3_Subset_82.tif,8.84,14.768,3,421,111,2,1,2.13075,2.5,0.4,3804,8.48215,2.13075,5,9,9,1.444444444,4,0.692307692,0.565546519,0.566393131,0.379826667,0.215131215,8.84,14.768,3,0.25238,85,142,6,5.33664314,8.84,14.768,3,421,1,82,2.13075,2.5,0.4,51.77925178,50.42476796,0.25,2.555555556,0,0.219907407,8.01206,14.872,2.5,8.71,14.794,2.75,0.745455729,3,0,0,5,0,3,1,0,0,0,0,0,0,0,0
Tol1-3_Subset_73.tif,5.72,12.064,3,426,99,5,1,1.18976,2,0.5,3633,3.28471,1.18976,3,4,3,0.75,3,1.333333333,0.6791039,0.845555117,0.355465,0.30056525,5.72,12.064,3,0.15002,55,168,6,6.227085354,5.72,12.064,3,426,1,73,1.18976,2,0.5,51.52030538,65.33622853,0.5,1.5,0,0.5,6.068865,12.22,2.5,5.841335,12.341335,2.75,0.359154679,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0
Tol1-3_Subset_86.tif,21.84,6.448,3,432,88,9,1,0.2704,1,1,3901,1.23369,0.2704,1,2,1,0,2,0,0.52826931,1.233692006,0.247224,0.304998272,21.84,6.448,3,0.07993,210,222,6,20.71875093,21.84,6.448,3,432,1,86,0.2704,1,1,52.7388832,56.44841307,1,1,0,0,21.528,6.032,2.75,21.528,6.032,2.75,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Tol1-3_Subset_89.tif,1.352,21.424,2.5,447,140,4,1,0.10275,1,1,3943,0.44281,0.10275,1,2,1,0,2,0,0.543547202,0.442807448,0.172816,0.076524212,1.352,21.424,2.5,0.14314,13,78,5,4.813813457,1.352,21.424,2.5,447,1,89,0.10275,1,1,49.5183283,164.3905223,1,1,0,0,1.404,21.216,2.5,1.404,21.216,2.5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Tol1-3_Subset_83.tif,9.256,14.768,2.5,476,105,10,1,0.44346,1,1,3851,1.34608,0.44346,1,2,1,0,2,0,0.647659663,1.346081945,0.270938182,0.364704995,9.256,14.768,2.5,0.20827,89,142,5,5.725155718,9.256,14.768,2.5,476,1,83,0.44346,1,1,57.94196633,49.1255152,1,1,0,0,9.724,14.3,2.5,9.724,14.3,2.5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Tol1-3_Subset_91.tif,13.312,14.04,2.5,480,104,5,1,0.3353,1,1,3953,0.67658,0.3353,1,2,1,0,2,0,0.794350655,0.676579374,0.287863333,0.194762394,13.312,14.04,2.5,0.36425,128,149,5,9.541089246,13.312,14.04,2.5,480,1,91,0.3353,1,1,49.34436768,122.8831628,1,1,0,0,13.052,13.832,2.5,13.052,13.832,2.5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Tol1-3_Subset_72.tif,17.784,13.936,2.5,481,519,12,1,0.80579,1,1,3623,1.72598,0.80579,1,2,1,0,2,0,0.770988884,1.725971726,0.282562308,0.487694554,17.784,13.936,2.5,0.28933,171,150,5,13.71793337,17.784,13.936,2.5,481,1,72,0.80579,1,1,45.45018094,55.32813839,1,1,0,0,18.356,13.312,2.516205,18.356,13.312,2.516205,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Tol1-3_Subset_84.tif,11.544,13.624,2.5,484,517,16,1,1.31955,2,0.5,3868,3.98813,1.31955,3,4,3,0.75,3,1.333333333,0.649057738,2.16767083,0.302017059,0.654673569,11.544,13.624,2.5,0.1345,111,153,5,8.22419455,11.544,13.624,2.5,484,1,84,1.31955,2,0.5,61.01800056,77.3537801,0.5,1.5,0,0.5,12.636,13.052,2.25,12.272,13.364,2.25,0.479416312,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
Tol1-3_Subset_92.tif,6.448,13.624,2.5,485,101,8,1,0.16765,1,1,3962,0.84973,0.16765,1,2,1,0,2,0,0.501206117,0.849734667,0.167514444,0.142342831,6.448,13.624,2.5,0.10257,62,153,5,4.97078183,6.448,13.624,2.5,485,1,92,0.16765,1,1,55.28887167,53.53530556,1,1,0,0,6.5,13.208,2.5,6.5,13.208,2.5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Tol1-3_Subset_93.tif,8.008,12.688,2.5,489,98,2,1,0.08112,1,1,3965,0.23586,0.08112,1,2,1,0,2,0,0.661746851,0.235862461,0.15865,0.037419579,8.008,12.688,2.5,0.08863,77,162,5,6.463460374,8.008,12.688,2.5,489,1,93,0.08112,1,1,51.36386308,114.5035444,1,1,0,0,8.06,12.584,2.5,8.06,12.584,2.5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Tol1-3_Subset_95.tif,9.776,11.856,2.5,492,35,12,1,0.55702,1,1,3993,1.58285,0.55702,1,2,1,0,2,0,0.669376673,1.582853082,0.320436154,0.507203354,9.776,11.856,2.5,0.22335,94,170,5,8.13427317,9.776,11.856,2.5,492,1,95,0.55702,1,1,40.27870958,49.86685146,1,1,0,0,9.511935,11.95594,2.25,9.511935,11.95594,2.25,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Tol1-3_Subset_85.tif,6.864,11.128,2.5,493,516,6,1,0.60029,1,1,3891,0.92502,0.60029,1,2,1,0,2,0,0.908991982,0.925021392,0.415985714,0.384795684,6.864,11.128,2.5,0.36463,66,177,5,7.439058005,6.864,11.128,2.5,493,1,85,0.60029,1,1,59.55210975,44.94238413,1,1,0,0,7.072,11.44,2.25,7.072,11.44,2.25,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Tol1-3_Subset_99.tif,8.424,9.88,2.5,494,31,6,1,0.11898,1,1,4091,0.85214,0.11898,1,2,1,0,2,0,0.421634914,0.852141205,0.236675714,0.201681128,8.424,9.88,2.5,0.13852,81,189,5,9.136301221,8.424,9.88,2.5,494,1,99,0.11898,1,1,47.6522904,48.083333,1,1,0,0,8.684,9.724,2.25,8.684,9.724,2.25,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Tol1-3_Subset_100.tif,7.072,7.8,2.5,497,29,4,1,0.28122,1,1,4096,0.70398,0.28122,1,2,1,0,2,0,0.713178104,0.703983059,0.352098,0.247871027,7.072,7.8,2.5,0.19643,68,209,5,10.69555721,7.072,7.8,2.5,497,1,100,0.28122,1,1,62.48326713,50.56904423,1,1,0,0,7.02,8.008,2.25,7.02,8.008,2.25,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Tol1-3_Subset_103.tif,13.832,6.656,2.5,499,26,17,1,0.72467,1,1,4126,2.23675,0.72467,1,2,1,0,2,0,0.642268286,2.236747224,0.271128333,0.606445547,13.832,6.656,2.5,0.24287,133,220,5,14.70136864,13.832,6.656,2.5,499,1,103,0.72467,1,1,47.84871821,47.19396819,1,1,0,0,12.948,7.124,2.25,12.948,7.124,2.25,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Tol1-3_Subset_87.tif,23.088,5.2,2.5,507,22,7,1,0.41642,1,1,3909,0.98166,0.41642,1,2,1,0,2,0,0.734920398,0.981656287,0.345445,0.339108256,23.088,5.2,2.5,0.29365,222,234,5,22.47301529,23.088,5.2,2.5,507,1,87,0.41642,1,1,42.07988904,49.63441006,1,1,0,0,23.09186,5.564,2.25,23.09186,5.564,2.25,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Tol1-3_Subset_104.tif,17.056,4.784,2.5,510,23,27,1,0.76794,1,1,4154,3.70129,0.76794,1,2,1,0,2,0,0.51397518,3.701283064,0.23321,0.863176223,17.056,4.784,2.5,0.19597,164,238,5,18.2096414,17.056,4.784,2.5,510,1,104,0.76794,1,1,46.04937267,51.85972069,1,1,0,0,15.808,5.928,2.25,15.808,5.928,2.25,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Tol1-3_Subset_88.tif,17.056,2.912,2.5,515,15,2,1,1.22221,2,0.5,3938,4.07769,1.22221,1,2,2,1.5,3,0.666666667,0.617761548,0.580186398,0.322993333,0.187396339,17.056,2.912,2.5,0.0835,164,256,5,19.62969506,17.056,2.912,2.5,515,1,88,1.22221,2,0.5,46.80308113,53.35846427,2,1,0,0.75,16.51061,2.396065,2.25,16.952,2.808,2.25,0.603751254,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Tol1-3_Subset_77.tif,7.696,20.28,2,519,67,6,1,0.56784,2,0.5,3683,2.02157,0.56784,3,4,3,0.75,3,1.333333333,0.598030947,1.016808673,0.409562857,0.416447065,7.696,20.28,2,0.49608,74,89,4,3.880224736,7.696,20.28,2,519,1,77,0.56784,2,0.5,59.51305794,50.64941395,0.5,1.5,0,0.5,7.956,19.916,1.916665,7.852,19.968,2.166665,0.275717246,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
Tol1-3_Subset_106.tif,8.632,19.864,2,520,14,4,1,0.11898,1,1,4163,0.72989,0.11898,1,2,1,0,2,0,0.45557862,0.729892563,0.23749,0.173342185,8.632,19.864,2,0.05411,83,93,4,4.452639667,8.632,19.864,2,520,1,106,0.11898,1,1,47.2436247,57.2220598,1,1,0,0,8.476,20.02,1.75,8.476,20.02,1.75,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Tol1-3_Subset_79.tif,8.528,16.64,2,533,514,12,1,0.51376,1,1,3734,2.18969,0.51376,1,2,1,0,2,0,0.546567603,2.18968705,0.311133846,0.681285754,8.528,16.64,2,0.14411,82,124,4,4.324481009,8.528,16.64,2,533,1,79,0.51376,1,1,96.47099022,61.85747447,1,1,0,0,8.181265,16.578655,2.01389,8.181265,16.578655,2.01389,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Tol1-3_Subset_90.tif,16.952,14.352,2,537,45,3,1,0.2055,1,1,3947,0.33882,0.2055,1,2,1,0,2,0,0.878772491,0.338814865,0.236955,0.080283876,16.952,14.352,2,0.31638,163,146,4,12.84979875,16.952,14.352,2,537,1,90,0.2055,1,1,57.7585644,49.0535911,1,1,0,0,17.004,14.196,2,17.004,14.196,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
